Berufsbezeichnung,Jährlicher Durchschnitt Männlich (Brutto),Jährlicher Durchschnitt Weiblich (Brutto),Diskrepanz
User Experience Designer/in,83380.77,71723.08,-11657.69
Mediengestalter/in in Bild und Ton,57692.31,46153.85,-11538.46
Tierarzt/ärztin,120267.99,108762.39,-11505.6
Bankkaufmann/Bankkauffrau,80533.08,69142.01,-11391.07
Personalleiter/in,116197.8,104927.54,-11270.26
Serviceleiter/in,76317.16,65076.92,-11240.24
Sekretär/in,69207.69,57967.53,-11240.16
Ingenieur/in Biotechnologie,90776.92,79553.41,-11223.51
Buchbinder/in,61978.85,50769.23,-11209.62
Prozessmanager/in,99000,87795.8,-11204.2
Mikrobiologe/in,90000,78826.92,-11173.08
ICT Service Manager/in,128057.69,116884.62,-11173.07
Kurier,47126.92,36000,-11126.92
Zahntechniker/in,65578.28,54488.54,-11089.74
Steuerfachangestellte/r,80307.69,69230.77,-11076.92
CAD Assistent/in,66461.54,55384.62,-11076.92
Digital Business Consultant,109958.97,99000,-10958.97
Pharmazeut/in,99538.46,88593.41,-10945.05
Sachbearbeiter/in Debitoren,67206.15,56349.62,-10856.53
Geologe/in,84501.1,73846.15,-10654.95
Treasury Manager/in,115512.82,104880,-10632.82
Archivar/in,61000,50400,-10600
Kindergartenleiter/in,83630.77,73230.77,-10400
Immobilientreuhänder/in,110723.08,100400,-10323.08
Veranstaltungstechniker/in,68957.51,58800,-10157.51
Industriefachwirt/in,77538.46,67384.62,-10153.84
Hoteldirektor/in,115457.44,105307.69,-10149.75
Buyer/in,67753.85,57692.31,-10061.54
Werkzeugmacher/in,68617.12,58846.15,-9770.96999999999
Produktdesigner/in,85240,75530.77,-9709.23
Projektleiter/in Metallbau,87136.7,77538.46,-9598.23999999999
Aktuar/in,114871.79,105278.85,-9592.93999999999
Stationsleiter/in,93574.71,84009.52,-9565.19
ICT Supporter/in,70520.77,61015.38,-9505.39000000001
Technische/r Zeichner/in,66167.83,56812.31,-9355.52
Straßenreiniger/in,53658.46,44307.69,-9350.77
Verkäufer/in Innendienst,65636.47,56348.87,-9287.6
Leiter/in Buchhaltung,111923.08,102692.31,-9230.77
Finanzberater/in,93533.85,84307.69,-9226.16
Elektriker/in,61776.87,52692.31,-9084.56000000001
Designer/in,65926.87,56917.66,-9009.20999999999
Administrator/in,89858.54,80869,-8989.53999999999
Fachbereichsleiter/in,83076.92,74215.38,-8861.53999999999
Personaltrainer/in,55000,46153.85,-8846.15
Einkaufsleiter/in,126069.23,117230.77,-8838.45999999999
Produktionsmechaniker/in,59238.14,50400,-8838.14
Kassierer/in,49435.38,40616.22,-8819.16
Podologe/Podologin,60132.72,51323.08,-8809.64
Florist/in,53666.67,44905.02,-8761.65
Restaurantleiter/in,70714.62,62000,-8714.62
Visagist/in,53169.23,44492.31,-8676.92000000001
Laborant/in,69560.84,60925.52,-8635.32
Serviceberater/in,66368.42,57761.54,-8606.88
Metallarbeiter/in,62888.76,54369.23,-8519.53
Sozialpädagoge/in,77543.77,69040.43,-8503.34000000001
Relationship Manager/in,108007.69,99538.46,-8469.23
Maschinenführer/in,63129.07,54676.92,-8452.15
Assistent/in Gastronomie,55810.81,47446.15,-8364.66
Produktionshelfer/in,54077.95,45822.79,-8255.16
Bauingenieur/in,89104.39,80868.94,-8235.45
Landschaftsarchitekt/in,79280,71058.46,-8221.53999999999
Einkäufer/in,84377.68,76189.42,-8188.26
Kaufmann/Kauffrau,68357.64,60225.97,-8131.67
Logistikfachfrau/mann,63918.73,55823.08,-8095.65
Technische/r Assistent/in,73169.29,65090,-8079.28999999999
Projektmanager/in Produktion,94190.49,86153.85,-8036.64
Betriebswirtschafter/in,92851.05,84896.15,-7954.90000000001
Teamleiter/in,86472.44,78615.9,-7856.54000000001
Barista,60343.59,52523.08,-7820.51
Gebäudetechniker/in,67950.77,60153.85,-7796.92000000001
Innendekorateur/in,61090.11,53449.48,-7640.63
Polizist/in,83138.38,75521.42,-7616.96000000001
Logistikassistent/in,58861.54,51325.64,-7535.9
Milchtechnologe/in,61524.69,54000,-7524.69
Assistent/in Marketing,72892.31,65433.65,-7458.66
Autolackierer/in,62247.98,54800,-7447.98
Consultant,93738.46,86375.38,-7363.08
Kosmetiker/in,57692.31,50411.53,-7280.78
Senior Software Engineer,108252.98,101000,-7252.98
Industriekaufmann/Industriekauffrau,72282.05,65076.92,-7205.13000000001
Verwaltungsangestellte/r,77984.62,70812.99,-7171.62999999999
Buchhalter/in,83888.18,76777.57,-7110.60999999999
Bäckereifachverkäufer/in,51692.31,44679.49,-7012.82
Leiter/in Lagerlogistik,82453.91,75507.69,-6946.22
Fahrdienstleiter/in Bahn,66000,59076.92,-6923.08
Nachtwächter/in,28000,21230.77,-6769.23
Analyst/in,87527.99,80766.67,-6761.32000000001
Fotograf/in,61510.77,54756.92,-6753.85
Frontendentwickler/in,82979.49,76246.15,-6733.34000000001
Zimmermädchen,46907.69,40222.63,-6685.06000000001
Softwareentwickler/in,89969.11,83305.85,-6663.26
Biomedizinische Analytiker/in,75952.81,69336.44,-6616.37
Stellvertretende/r Filialleiter/in,69230.77,62646.15,-6584.62
Mitarbeiter/in Werkhof,61515.1,55000,-6515.1
Brand Manager/in,115889.14,109380.89,-6508.25
Polydesigner/in 3D,63646.15,57179.44,-6466.71
Disponent/in,68375.46,61912.49,-6462.97000000001
Büroangestellte/r,61101.96,54731.02,-6370.94
Backoffice,73661.54,67351.79,-6309.75
Siebdrucker/in,61440,55200,-6240
Assistenz der Geschäftsleitung,86523.08,80302.05,-6221.03
Sozialpädagoge/in in Ausbildung,43200,37020.85,-6179.15
Technische/r Kaufmann/frau,72633.85,66461.54,-6172.31000000001
Konditor/in,57350.77,51181.81,-6168.96
Altenpfleger/in,63956.19,57888.58,-6067.61
Textilingenieur/in,85907.69,79846.15,-6061.54000000001
Wissenschaftliche/r Mitarbeiter/in,86117.54,80117.28,-6000.26
Hausverwalter/in,40000,34000,-6000
Verkäufer/in,50273.71,44318.85,-5954.86
Zahnarzt/Zahnärztin,111415.38,105463.71,-5951.67
Reinigungsfachkraft,43268.38,37347.64,-5920.74
Fleischer/in,55670.33,49768.62,-5901.71
Glaser/in,62120.98,56230.77,-5890.21000000001
Lokführer/in,77487.73,71692.31,-5795.42
Biochemiker/in,98794.87,93046.15,-5748.72
Kundenberater/in,72454.49,66720.69,-5733.8
Sachbearbeiter/in Immobilien,61500,55807.18,-5692.82
Biologielaborant/in,69336.41,63646.21,-5690.2
Garten-/Landschaftsgestalter/in,55804.7,50153.85,-5650.85
Architekt/in,74814.45,69223.94,-5590.51
Taxifahrer/in,48751.25,43200,-5551.25
Baggerfahrer/in,59730.03,54276.92,-5453.11
Oberkellner/in,59384.62,53953.85,-5430.77
Sales Assistant/in,68661.54,63277.99,-5383.55
Anlagenführer/in,60494.91,55160.44,-5334.47
Polier,77321.27,72000,-5321.27
Fachfrau/-mann Gesundheit,59934.08,54662.03,-5272.05
Studiensekretär/in,67384.62,62153.85,-5230.77
Kriminologe/Kriminologin,110769.23,105576.92,-5192.31
IT Kauffrau/mann,72662.77,67500,-5162.77
Sterilisationsassistent/in,69200.5,64047,-5153.5
IT Teamleiter/in,122340.73,117200,-5140.73
Manager/in klinische Forschung,178492.31,173403.85,-5088.45999999999
Lagerist/in,53886.63,48834.32,-5052.31
Pflegeassistent/in,51068.7,46044.89,-5023.81
Gerüstmonteur/in,64807.45,59815.38,-4992.07
Pflegefachfrau/mann,73684.04,68715.6,-4968.43999999999
Anwalt/Anwältin,107367.61,102453.61,-4914
Marketing Assistent/in,67438.46,62552.88,-4885.58000000001
Client Manager/in,103947.69,99097.69,-4850
Servierer/in,45415.38,40566.15,-4849.23
Polygraf/in,72017.3,67168.77,-4848.53
Gebäudereiniger/in,51328.83,46538.46,-4790.37
Produktmanager/in,96890.09,92110.77,-4779.31999999999
Industrielackierer/in,60158.08,55384.62,-4773.46
Verpackungsentwickler/in,62621.54,57871.79,-4749.75
